# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ULAfld         14:(.)w_ULAfld           15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.571867645273e+04       2.808015873970e-06       2.765728121987e+01       6.045212281911e+02       1.265013499457e+04       8.047325294898e-01       1.988560291980e+08       1.580527680912e+01       1.680170998088e+05       9.522332149841e+03       5.202879194798e+04       2.985121549152e-08       1.964868885967e+04      -3.869315103751e-03       1.162290025674e+05       3.654459153337e+05       3.654459153337e+05       9.467267382344e+04      -1.457475314951e+04       9.439142514191e-04       2.589792888375e-01 
       1.560936131529e+04       2.845915081542e-06       2.783930582055e+01       5.966076422461e+02       1.264995296997e+04       8.103561932022e-01       1.974703364826e+08       1.590819666456e+01       1.633920392478e+05       9.325054591176e+03       5.095089286882e+04       2.985121549152e-08       1.924316251972e+04      -3.789456890140e-03       1.130295295588e+05       3.559406787864e+05       3.559406787864e+05       9.206760180072e+04      -1.408596227429e+04       9.456252871793e-04       2.600747554741e-01 
       1.550080613212e+04       2.884316995964e-06       2.802246225616e+01       5.888001089067e+02       1.264976981353e+04       8.160190951762e-01       1.960942792654e+08       1.601174164825e+01       1.588942849160e+05       9.131863701540e+03       4.989532282096e+04       2.985121549152e-08       1.884597377098e+04      -3.711240555425e-03       1.099181230390e+05       3.466855682485e+05       3.466855682485e+05       8.953419404280e+04      -1.361362013605e+04       9.473466822604e-04       2.611738893023e-01 
       1.539300562075e+04       2.923228122825e-06       2.820675679225e+01       5.810971851528e+02       1.264958551900e+04       8.217215083999e-01       1.947277905796e+08       1.611591502050e+01       1.545203328897e+05       8.942674830994e+03       4.886161928808e+04       2.985121549152e-08       1.845695248104e+04      -3.634632596309e-03       1.068923591027e+05       3.376739385925e+05       3.376739385925e+05       8.707047975631e+04      -1.315717153998e+04       9.490785062214e-04       2.622766807860e-01 
       1.528595453540e+04       2.962655049047e-06       2.839219572071e+01       5.734974477625e+02       1.264940008007e+04       8.274637077503e-01       1.933708039240e+08       1.622072005249e+01       1.502667756811e+05       8.757405082905e+03       4.784932933370e+04       2.985121549152e-08       1.807593193684e+04      -3.559600182847e-03       1.039498805556e+05       3.288993225901e+05       3.288993225901e+05       8.467454232157e+04      -1.271608007927e+04       9.508208290578e-04       2.633831201439e-01 
       1.517964766677e+04       3.002604443851e-06       2.857878535972e+01       5.659994930393e+02       1.264921349043e+04       8.332459700069e-01       1.920232532600e+08       1.632616002631e+01       1.461302995835e+05       8.575973277632e+03       4.685800940275e+04       2.985121549152e-08       1.770274877811e+04      -3.486111145342e-03       1.010883950788e+05       3.203554261208e+05       3.203554261208e+05       8.234451780424e+04      -1.228982749791e+04       9.525737212041e-04       2.644931973496e-01 
       1.507407984178e+04       3.043083059743e-06       2.876653205379e+01       5.586019365434e+02       1.264902574374e+04       8.390685738645e-01       1.906850730075e+08       1.643223823489e+01       1.421076820910e+05       8.398299916963e+03       4.588722512727e+04       2.985121549152e-08       1.733724293195e+04      -3.414133961462e-03       9.830567344277e+04       3.120361235100e+05       3.120361235100e+05       8.007859350802e+04      -1.187791307520e+04       9.543372535364e-04       2.656069021302e-01 
       1.496924592330e+04       3.084097733502e-06       2.895544217384e+01       5.513034128264e+02       1.264883683362e+04       8.449317999465e-01       1.893561980429e+08       1.653895798193e+01       1.381957893883e+05       8.224307149291e+03       4.493655113615e+04       2.985121549152e-08       1.697925754866e+04      -3.343637743603e-03       9.559954777160e+04       3.039354529940e+05       3.039354529940e+05       7.787500656688e+04      -1.147985303107e+04       9.561114973750e-04       2.667242239661e-01 
       1.486514080992e+04       3.125655387182e-06       2.914552211717e+01       5.441025751702e+02       1.264864675367e+04       8.508359308178e-01       1.880365636950e+08       1.664632258196e+01       1.343915739096e+05       8.053918735511e+03       4.400557086878e+04       2.985121549152e-08       1.662863893872e+04      -3.274592226481e-03       9.296790985414e+04       2.960476123068e+05       2.960476123068e+05       7.573204257609e+04      -1.109517995170e+04       9.578965244864e-04       2.678451520898e-01 
       1.476175943567e+04       3.167763029129e-06       2.933677830748e+01       5.369980953287e+02       1.264845549748e+04       8.567812509985e-01       1.867261057421e+08       1.675433536022e+01       1.306920719654e+05       7.887060015622e+03       4.309387639254e+04       2.985121549152e-08       1.628523651094e+04      -3.206967754946e-03       9.040870950212e+04       2.883669543867e+05       2.883669543867e+05       7.364803426077e+04      -1.072344223457e+04       9.596924070864e-04       2.689696754858e-01 
