# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.858974044957e-01       5.885978945713e+02 
       3.891111023274e-01       5.791201219352e+02 
       3.923248005145e-01       5.696848930782e+02 
       3.955384990485e-01       5.603049489539e+02 
       3.987521979208e-01       5.509740925803e+02 
       4.019658971233e-01       5.417154225776e+02 
       4.051795966482e-01       5.325621517331e+02 
       4.083932964878e-01       5.235555031858e+02 
       4.116069966346e-01       5.147388408361e+02 
       4.148206970816e-01       5.061527200671e+02 
       4.180343978218e-01       4.978198095200e+02 
       4.212480988484e-01       4.897520667505e+02 
       4.244618001549e-01       4.819581264527e+02 
       4.276755017350e-01       4.744033920417e+02 
       4.308892035825e-01       4.671057564922e+02 
       4.341029056915e-01       4.600348014913e+02 
       4.373166080561e-01       4.531851028691e+02 
       4.405303106709e-01       4.465183467922e+02 
       4.437440135302e-01       4.400416457210e+02 
       4.469577166289e-01       4.336834650375e+02 
       4.501714199618e-01       4.274518304843e+02 
       4.533851235238e-01       4.213108782879e+02 
       4.565988273101e-01       4.152447758186e+02 
       4.598125313161e-01       4.092470180013e+02 
       4.630262355371e-01       4.033187924493e+02 
       4.662399399686e-01       3.974650733674e+02 
       4.694536446064e-01       3.916922796796e+02 
       4.726673494461e-01       3.860060956139e+02 
       4.758810544837e-01       3.804120148225e+02 
       4.790947597152e-01       3.749161241979e+02 
       4.823084651368e-01       3.695315606786e+02 
       4.855221707445e-01       3.642653520572e+02 
       4.887358765348e-01       3.591296234235e+02 
       4.919495825040e-01       3.541276869214e+02 
       4.951632886487e-01       3.492602246609e+02 
       4.983769949654e-01       3.445200541883e+02 
       5.015907014508e-01       3.398960092637e+02 
       5.048044081018e-01       3.353748521817e+02 
       5.080181149151e-01       3.309539462515e+02 
       5.112318218876e-01       3.266036609254e+02 
       5.144455290164e-01       3.223469936573e+02 
       5.176592362986e-01       3.181546142559e+02 
       5.208729437313e-01       3.140207041321e+02 
       5.240866513118e-01       3.099556746976e+02 
       5.273003590372e-01       3.059458913712e+02 
       5.305140669051e-01       3.019878731593e+02 
       5.337277749127e-01       2.980840355917e+02 
       5.369414830576e-01       2.942466084735e+02 
       5.401551913374e-01       2.904636079083e+02 
       5.433688997495e-01       2.867487651232e+02 
       5.465826082918e-01       2.830974768744e+02 
       5.497963169619e-01       2.795212296279e+02 
       5.530100257575e-01       2.760144621697e+02 
       5.562237346765e-01       2.725732972014e+02 
       5.594374437167e-01       2.691967163356e+02 
       5.626511528761e-01       2.658854593184e+02 
       5.658648621527e-01       2.626383752643e+02 
       5.690785715443e-01       2.594553492293e+02 
       5.722922810492e-01       2.563333894670e+02 
       5.755059906654e-01       2.532679939925e+02 
       5.787197003910e-01       2.502538537891e+02 
       5.819334102242e-01       2.472874134278e+02 
       5.851471201632e-01       2.443647837038e+02 
       5.883608302063e-01       2.414862085109e+02 
       5.915745403519e-01       2.386521946070e+02 
       5.947882505981e-01       2.358627492439e+02 
       5.980019609435e-01       2.331167544559e+02 
       6.012156713864e-01       2.304124196197e+02 
       6.044293819252e-01       2.277475561347e+02 
       6.076430925584e-01       2.251207264989e+02 
       6.108568032846e-01       2.225326064226e+02 
       6.140705141023e-01       2.199847342400e+02 
       6.172842250099e-01       2.174787179426e+02 
       6.204979360062e-01       2.150168230249e+02 
       6.237116470898e-01       2.125978782197e+02 
       6.269253582593e-01       2.102202399660e+02 
       6.301390695134e-01       2.078806809373e+02 
       6.667540561749e-01       1.836443103542e+02 
       7.107351280455e-01       1.594229613483e+02 
       7.661003767576e-01       1.348562373837e+02 
       8.406393031317e-01       1.094188008879e+02 
       9.505981221918e-01       8.269987551065e+01 
       1.127496313035e+00       5.576135941651e+01 
       1.400595265656e+00       3.350166493116e+01 
       1.762121257978e+00       1.934989102504e+01 
       2.218365039550e+00       1.106059254765e+01 
       2.792756088276e+00       6.271721408740e+00 
       3.515871608464e+00       3.530435132414e+00 
       4.426220112501e+00       1.974134802618e+00 
       5.572280977822e+00       1.097235227210e+00 
       7.015086124637e+00       6.064990974748e-01 
       8.831470188231e+00       3.335633880183e-01 
       1.111816224347e+01       1.825932406477e-01 
       1.399693698075e+01       9.951681064061e-02 
       1.762109965235e+01       5.401821266193e-02 
       2.218365013610e+01       2.920933576840e-02 
       2.792756088269e+01       1.573592638092e-02 
       3.515871608464e+01       8.446685456215e-03 
